Date,GBP,AUD,NZD,SGD,CHF,JPY,CAD,USD,CNY,HKD,IDR
"Jul 09, 2020",0.1872,0.3367,0.3563,-,0.2207,25.2328,0.3179,0.2344,1.6454,1.8227,"3,374.8201"
"Jul 08, 2020",0.1872,0.3367,0.3572,-,0.2203,25.1441,0.3180,0.2340,1.6381,1.8116,"3,328.9199"
"Jul 07, 2020",0.1872,0.3356,0.3564,-,0.2205,25.1362,0.3170,0.2339,1.6412,1.8144,"3,326.0901"
"Jul 06, 2020",0.1872,0.3360,0.3566,-,0.2206,25.1182,0.3164,0.2334,1.6482,1.8094,"3,336.5000"
"Jul 03, 2020",0.1872,0.3360,0.3585,-,0.2198,24.9905,0.3155,0.2335,1.6408,1.8017,"3,324.7100"
"Jul 02, 2020",0.1872,0.3389,0.3601,-,0.2215,25.1463,0.3184,0.2334,1.6547,1.8153,"3,323.8999"
"Jul 01, 2020",0.1872,0.3389,0.3616,-,0.2214,25.2529,0.3174,0.2335,1.6503,1.8121,"3,319.2500"
"Jun 30, 2020",0.1872,0.3384,0.3631,-,0.2211,25.0203,0.3175,0.2335,1.6448,1.8023,"3,291.2200"
"Jun 29, 2020",0.1872,0.3395,0.3629,-,0.2208,24.9770,0.3186,0.2332,1.6463,1.8051,"3,294.3101"
"Jun 26, 2020",0.1872,0.3397,0.3634,-,0.2219,25.0738,0.3191,0.2338,1.6547,1.8129,"3,300.0300"
"Jun 25, 2020",0.1872,0.3396,0.3649,-,0.2208,24.9286,0.3177,0.2339,1.6463,1.8048,"3,286.6899"
"Jun 24, 2020",0.1872,0.3375,0.3595,-,0.2213,24.9386,0.3173,0.2339,1.6512,1.8157,"3,305.6499"
"Jun 23, 2020",0.1872,0.3390,0.3603,-,0.2225,25.1209,0.3173,0.2342,1.6588,1.8212,"3,307.2200"
"Jun 22, 2020",0.1872,0.3425,0.3660,-,0.2226,24.9624,0.3183,0.2345,1.6508,1.8112,"3,284.9600"
"Jun 19, 2020",0.1872,0.3394,0.3636,-,0.2215,24.9081,0.3164,0.2339,1.6483,1.8036,"3,259.0500"
"Jun 18, 2020",0.1872,0.3398,0.3623,-,0.2216,24.9720,0.3172,0.2338,1.6536,1.8106,"3,294.8201"
"Jun 17, 2020",0.1872,0.3377,0.3618,-,0.2215,25.0135,0.3152,0.2339,1.6479,1.8045,"3,265.1201"
"Jun 16, 2020",0.1872,0.3387,0.3597,-,0.2237,25.3276,0.3189,0.2338,1.6684,1.8264,"3,295.8501"
"Jun 15, 2020",0.1872,0.3418,0.3648,-,0.2219,25.0295,0.3181,0.2343,1.6509,1.8078,"3,276.6699"
"Jun 12, 2020",0.1872,0.3423,0.3669,-,0.2207,24.9678,0.3188,0.2355,1.6501,1.8115,"3,345.8999"
"Jun 11, 2020",0.1872,0.3376,0.3613,-,0.2220,25.1649,0.3158,0.2353,1.6595,1.8227,"3,345.8999"
"Jun 10, 2020",0.1872,0.3384,0.3599,-,0.2234,25.3176,0.3153,0.2340,1.6603,1.8202,"3,345.8999"
"Jun 09, 2020",0.1872,0.3344,0.3573,-,0.2250,25.4800,0.3142,0.2349,1.6597,1.8218,"3,345.8999"
"Jun 08, 2020",0.1872,0.3344,0.3585,-,0.2251,25.6630,0.3136,0.2345,1.6514,1.8143,"3,345.8999"
"Jun 05, 2020",0.1872,0.3406,0.3620,-,0.2259,25.8076,0.3192,0.2342,1.6794,1.8321,"3,345.8999"
"Jun 04, 2020",0.1872,0.3398,0.3651,-,0.2263,25.6490,0.3177,0.2350,1.6730,1.8241,"3,345.8999"
